received_at,user_id,score,subscriber,first_mission,score_type,mission
"44,163",prod843413,0,0,0,detractor,2001
"44,204",prod859530,8,0,1,passive,311
"44,213",prod862659,10,0,1,promoter,289
"44,186",prod852997,10,0,1,promoter,311
"44,172",prod845764,7,0,1,passive,311
"44,190",prod854400,0,0,1,detractor,499
"44,174",prod845093,9,0,0,promoter,200
"44,251",prod877433,1,0,1,detractor,311
"44,257",prod879480,8,0,0,passive,332
"44,216",prod862210,10,0,0,promoter,2001
"44,268",prod883731,7,0,1,passive,311
"44,238",prod872764,10,0,1,promoter,311
"44,277",prod887781,9,0,0,promoter,574
"44,279",prod888938,9,0,1,promoter,311
"44,175",prod838767,9,0,0,promoter,200
"44,287",prod863976,8,0,0,passive,574
"44,178",prod848187,10,0,0,promoter,540
"44,294",prod895467,10,0,0,promoter,574
"44,161",prod268125,10,0,1,promoter,311
"44,305",prod902485,10,0,1,promoter,311
"44,178",prod847188,10,0,1,promoter,311
"44,335",prod917975,9,0,1,promoter,311
"44,315",prod906842,10,0,1,promoter,311
"44,315",prod906842,10,0,1,promoter,311
"44,312",prod904059,8,1,0,passive,52
"44,345",prod923357,10,0,1,promoter,499
"44,318",prod908581,10,0,0,promoter,574
"44,233",prod870787,0,0,1,detractor,311
"44,363",prod935176,10,0,1,promoter,311
"44,210",prod861916,9,0,1,promoter,499
"44,340",prod921218,10,0,0,promoter,574
"44,362",prod934098,10,0,0,promoter,574
"44,379",prod944385,0,0,0,detractor,574
"44,379",prod944385,0,0,0,detractor,574
"44,272",prod885257,10,0,1,promoter,311
"44,385",prod802395,0,0,1,detractor,311
"44,386",prod948875,0,0,1,detractor,311
"44,230",prod869490,10,0,1,promoter,311
"44,176",prod847807,8,0,1,passive,311
"44,375",prod940920,10,0,1,promoter,311
"44,270",prod884872,10,0,1,promoter,311
"44,276",prod887063,0,0,0,detractor,2000574
"44,398",prod951952,8,1,1,passive,311
"44,280",prod888873,10,0,0,promoter,52
"44,214",prod852089,9,0,1,promoter,311
"44,214",prod852089,8,0,1,passive,311
"44,299",prod899603,10,0,1,promoter,311
"44,173",prod845816,10,1,1,promoter,311
"44,162",prod843191,9,0,1,promoter,311
"44,188",prod853547,10,0,1,promoter,311
"44,204",prod858834,10,0,1,promoter,311
"44,230",prod867640,1,0,0,detractor,312
"44,199",prod143056,10,0,1,promoter,311
"44,199",prod143056,10,0,1,promoter,311
"44,174",prod847194,9,0,1,promoter,289
"44,207",prod860456,9,1,1,promoter,311
"44,207",prod860456,9,1,1,promoter,311
"44,218",prod864864,10,0,1,promoter,420
"44,220",prod865841,9,0,0,promoter,200
"44,239",prod873087,9,0,1,promoter,311
"44,244",prod874513,10,0,1,promoter,311
"44,261",prod881039,9,0,1,promoter,311
"44,292",prod881357,9,0,0,promoter,2000574
"44,253",prod878054,10,0,1,promoter,311
"44,282",prod890593,9,0,1,promoter,311
"44,292",prod896160,10,0,0,promoter,574
"44,289",prod846686,9,0,0,promoter,574
"44,198",prod857234,10,0,1,promoter,311
"44,297",prod899118,8,0,1,passive,311
"44,231",prod870244,10,0,1,promoter,311
"44,204",prod855107,10,0,1,promoter,311
"44,342",prod906306,10,0,0,promoter,574
"44,202",prod858292,7,0,1,passive,311
"44,319",prod908215,7,0,0,passive,200
"44,162",prod842695,10,0,0,promoter,252
"44,264",prod882193,10,0,1,promoter,499
"44,264",prod882193,10,0,1,promoter,499
"44,327",prod913666,10,0,1,promoter,311
"44,174",prod847333,10,0,1,promoter,311
"44,336",prod918252,10,0,0,promoter,574
"44,259",prod690410,10,0,1,promoter,311
"44,350",prod926475,7,0,1,passive,289
"44,303",prod901804,10,0,1,promoter,311
"44,303",prod901804,10,0,1,promoter,311
"44,348",prod924602,10,0,0,promoter,200
"44,195",prod855867,10,0,1,promoter,420
"44,324",prod911781,10,0,0,promoter,574
"44,236",prod871905,10,0,1,promoter,311
"44,246",prod875913,8,0,1,passive,311
"44,246",prod875913,8,0,1,passive,311
"44,333",prod915621,10,0,1,promoter,311
"44,356",prod929885,10,0,1,promoter,311
"44,161",prod75911,7,1,1,passive,311
"44,369",prod938518,0,0,1,detractor,311
"44,373",prod941010,9,0,1,promoter,311
"44,257",prod879660,10,0,1,promoter,311
"44,374",prod940606,8,0,1,passive,311
"44,266",prod867973,9,0,1,promoter,311
"44,266",prod867973,10,0,1,promoter,311
"44,194",prod854694,8,0,0,passive,312
"44,384",prod947234,0,0,1,detractor,311
"44,384",prod947502,10,0,1,promoter,311
"44,201",prod855772,10,1,0,promoter,200
"44,268",prod883805,10,0,0,promoter,574
"44,273",prod886204,7,0,1,passive,311
"44,273",prod886204,7,0,1,passive,311
"44,351",prod926271,10,0,1,promoter,311
"44,400",prod954400,8,0,1,passive,311
"44,268",prod873185,10,0,1,promoter,311
"44,406",prod956287,9,0,1,promoter,311
"44,397",prod955608,10,0,1,promoter,420
"44,292",prod896392,10,0,0,promoter,2000574
"44,286",prod729752,9,0,0,promoter,252
"44,422",prod968711,10,0,1,promoter,311
"44,428",prod971173,10,0,1,promoter,311
"44,182",prod851304,7,0,1,passive,311
"44,182",prod851304,7,0,1,passive,311
"44,305",prod901061,10,0,1,promoter,311
"44,314",prod905107,10,0,1,promoter,311
"44,290",prod895333,8,0,1,passive,311
"44,290",prod895333,8,0,1,passive,311
"44,182",prod845620,10,0,1,promoter,311
"44,327",prod913385,10,0,1,promoter,311
"44,393",prod953507,10,0,1,promoter,311
"44,279",prod887527,10,1,0,promoter,574
"44,252",prod875139,10,0,1,promoter,311
"44,252",prod875139,10,0,1,promoter,311
"44,383",prod923028,10,1,0,promoter,574
"44,365",prod930651,10,1,0,promoter,574
"44,469",prod991848,10,1,1,promoter,499
"44,352",prod927647,8,0,0,passive,200
"44,471",prod993290,10,1,1,promoter,311
"44,336",prod871762,10,0,0,promoter,575
"44,340",prod920679,10,0,0,promoter,200
"44,285",prod475122,10,0,0,promoter,200
"44,480",prod996739,10,0,0,promoter,574
"44,178",prod848857,8,0,1,passive,311
"44,178",prod848857,8,0,1,passive,311
"44,186",prod804835,10,0,1,promoter,311
"44,358",prod931753,10,0,1,promoter,311
"44,421",prod967337,10,0,1,promoter,311
"44,285",prod891124,5,0,1,detractor,311
"44,406",prod877796,9,0,0,promoter,200
"44,360",prod933162,2,0,1,detractor,311
"44,368",prod936776,10,0,1,promoter,311
"44,220",prod858194,10,0,1,promoter,311
"44,469",prod992163,8,1,1,passive,420
"44,399",prod956573,8,0,1,passive,420
"44,415",prod963819,8,0,0,passive,574
"44,513",prod1008774,7,1,1,passive,311
"44,371",prod939661,10,0,1,promoter,311
"44,229",prod861370,10,1,1,promoter,311
"44,510",prod1007764,10,0,1,promoter,311
"44,182",prod843198,6,1,1,detractor,311
"44,524",prod1012979,10,0,0,promoter,574
"44,370",prod937986,10,0,0,promoter,513
"44,462",prod987440,10,0,0,promoter,312
"44,165",prod843106,0,0,1,detractor,311
"44,181",prod849776,10,0,1,promoter,311
"44,229",prod851244,10,1,1,promoter,311
"44,368",prod936614,8,0,1,passive,311
"44,396",prod915834,10,1,1,promoter,311
"44,183",prod851791,9,0,1,promoter,311
"44,227",prod868308,10,0,1,promoter,311
"44,188",prod851677,10,0,1,promoter,311
"44,164",prod843015,10,1,1,promoter,311
"44,209",prod861393,10,0,1,promoter,311
"44,223",prod865228,8,0,1,passive,311
"44,216",prod859092,9,0,1,promoter,311
"44,249",prod869208,7,0,1,passive,311
"44,259",prod853745,10,1,1,promoter,311
"44,226",prod868213,7,0,1,passive,311
"44,233",prod869972,7,0,1,passive,311
"44,290",prod895724,8,0,1,passive,311
"44,290",prod895724,8,0,1,passive,311
"44,299",prod899889,9,0,0,promoter,574
"44,275",prod870592,10,1,1,promoter,311
"44,183",prod850746,10,0,0,promoter,2001
"44,306",prod903257,9,0,1,promoter,311
"44,234",prod870848,6,0,1,detractor,311
"44,289",prod894078,10,0,1,promoter,499
"44,289",prod894078,10,0,1,promoter,499
"44,235",prod858804,10,0,1,promoter,311
"44,180",prod850483,7,0,0,passive,52
"44,180",prod850483,7,0,0,passive,52
"44,288",prod893838,8,0,0,passive,574
"44,205",prod860099,10,0,1,promoter,311
"44,290",prod895391,10,0,1,promoter,311
"44,260",prod880760,10,0,1,promoter,311
"44,184",prod852256,9,0,1,promoter,311
"44,227",prod868384,10,0,1,promoter,311
"44,306",prod903216,7,0,0,passive,574
"44,341",prod921575,10,0,1,promoter,420
"44,236",prod871931,8,0,1,passive,289
"44,355",prod929343,10,0,1,promoter,311
"44,355",prod929343,10,0,1,promoter,311
"44,334",prod885268,10,0,1,promoter,311
"44,351",prod922340,10,1,0,promoter,574
"44,378",prod943505,10,0,0,promoter,574
"44,378",prod943970,10,0,1,promoter,311
"44,378",prod931588,5,0,1,detractor,311
"44,176",prod255527,8,0,0,passive,540
"44,255",prod878716,7,0,0,passive,574
"44,289",prod893303,10,1,0,promoter,574
"44,269",prod883385,6,0,1,detractor,311
"44,274",prod886350,10,0,1,promoter,311
"44,384",prod946095,9,0,0,promoter,574
"44,339",prod920322,10,0,1,promoter,311
"44,265",prod882882,10,0,1,promoter,311
"44,375",prod691159,6,0,1,detractor,311
"44,288",prod748513,10,1,1,promoter,311
"44,300",prod900330,7,0,0,passive,574
"44,372",prod928590,8,0,1,passive,311
"44,372",prod928590,8,0,1,passive,311
"44,325",prod910900,9,0,1,promoter,311
"44,421",prod968121,10,0,1,promoter,311
"44,424",prod966284,8,0,1,passive,311
"44,300",prod900063,3,0,0,detractor,2000574
"44,307",prod903572,10,0,1,promoter,311
"44,310",prod866748,10,0,0,promoter,252
"44,422",prod968166,10,0,1,promoter,311
"44,303",prod896736,10,0,0,promoter,283
"44,420",prod966729,8,0,1,passive,311
"44,413",prod963135,10,0,1,promoter,311
"44,184",prod689495,10,0,1,promoter,311
"44,323",prod910978,9,0,1,promoter,311
"44,469",prod992228,8,0,0,passive,2000311
"44,468",prod991953,0,0,1,detractor,311
"44,472",prod992733,10,0,0,promoter,200
"44,345",prod923848,0,0,1,detractor,311
"44,264",prod882310,7,0,1,passive,311
"44,356",prod929484,10,0,0,promoter,574
"44,428",prod804823,10,0,1,promoter,311
"44,428",prod804823,10,0,1,promoter,311
"44,427",prod971278,10,0,1,promoter,311
"44,485",prod999760,10,0,0,promoter,574
"44,263",prod876600,9,0,1,promoter,311
"44,508",prod1003352,9,1,0,promoter,200
"44,488",prod1000295,10,0,1,promoter,311
"44,179",prod849362,10,1,0,promoter,2001
"44,380",prod945124,10,0,1,promoter,311
"44,357",prod930622,10,0,0,promoter,574
"44,365",prod934286,10,0,0,promoter,513
"44,188",prod848006,10,0,1,promoter,499
"44,188",prod848006,10,0,1,promoter,499
"44,512",prod997969,7,1,0,passive,494
"44,358",prod924928,10,0,0,promoter,513
"44,189",prod852228,10,0,1,promoter,311
"44,189",prod852228,10,0,1,promoter,311
"44,452",prod255266,10,0,1,promoter,311
"44,253",prod873382,9,1,0,promoter,494
"44,515",prod1009208,10,0,1,promoter,311
"44,510",prod1003351,10,1,1,promoter,311
"44,272",prod877103,8,0,1,passive,311
"44,517",prod1010284,10,1,1,promoter,311
"44,264",prod881589,9,0,0,promoter,200
"44,308",prod903526,10,0,1,promoter,311
"44,388",prod948711,10,0,1,promoter,311
"44,172",prod845194,10,0,1,promoter,499
"44,386",prod948225,8,1,1,passive,499
"44,377",prod939438,10,1,0,promoter,574
"44,393",prod953014,10,0,1,promoter,311
"44,393",prod953401,8,0,0,passive,574
"44,395",prod954548,2,0,0,detractor,200
"44,523",prod1011626,10,0,1,promoter,311
"44,292",prod896190,10,0,0,promoter,574
"44,194",prod855531,10,1,1,promoter,311
"44,168",prod834271,10,0,0,promoter,252
"44,503",prod803669,10,1,0,promoter,200
"44,384",prod803669,10,1,1,promoter,311
"44,370",prod939447,10,0,1,promoter,311
"44,404",prod948690,8,0,1,passive,311
"44,407",prod960172,10,0,0,promoter,494
"44,171",prod841448,10,0,1,promoter,311
"44,171",prod841448,10,0,1,promoter,311
"44,398",prod954274,10,0,1,promoter,311
"44,163",prod843413,0,0,0,detractor,2001
